strike,mid,expiry,T_days
205.0,32.95,2025-11-21,71
210.0,28.8,2025-11-21,71
215.0,24.07,2025-11-21,71
220.0,20.3,2025-11-21,71
225.0,17.1,2025-11-21,71
230.0,13.81,2025-11-21,71
235.0,10.85,2025-11-21,71
240.0,8.3,2025-11-21,71
245.0,6.1,2025-11-21,71
250.0,4.48,2025-11-21,71
255.0,3.16,2025-11-21,71
260.0,2.22,2025-11-21,71
265.0,1.52,2025-11-21,71
270.0,1.04,2025-11-21,71
275.0,0.71,2025-11-21,71
280.0,0.49,2025-11-21,71
