strike,mid,expiry,T_days
195.0,46.7,2026-01-16,127
200.0,40.6,2026-01-16,127
210.0,32.05,2026-01-16,127
215.0,28.22,2026-01-16,127
220.0,24.42,2026-01-16,127
225.0,20.8,2026-01-16,127
230.0,17.65,2026-01-16,127
235.0,14.65,2026-01-16,127
240.0,11.97,2026-01-16,127
245.0,9.6,2026-01-16,127
250.0,7.6,2026-01-16,127
255.0,5.65,2026-01-16,127
260.0,4.5,2026-01-16,127
265.0,3.4,2026-01-16,127
270.0,2.57,2026-01-16,127
275.0,1.98,2026-01-16,127
280.0,1.41,2026-01-16,127
